name	code	global_id	parent_id	local_id	level
EU NUTS2	ALL_EU_NUTS2	1	0	1	1
Austria	AT	2	1	1	2
Belgium	BE	3	1	2	2
Bulgaria	BG	4	1	3	2
Cyprus	CY	5	1	4	2
Czech Republic	CZ	6	1	5	2
Germany	DE	7	1	6	2
Denmark	DK	8	1	7	2
Estonia	EE	9	1	8	2
Spain	ES	10	1	9	2
Finland	FI	11	1	10	2
France	FR	12	1	11	2
Greece	EL	13	1	12	2
Croatia	HR	14	1	13	2
Hungary	HU	15	1	14	2
Ireland	IE	16	1	15	2
Italy	IT	17	1	16	2
Lithuania	LT	18	1	17	2
Luxembourg	LU	19	1	18	2
Latvia	LV	20	1	19	2
Malta	MT	21	1	20	2
Netherlands	NL	22	1	21	2
Poland	PL	23	1	22	2
Portugal	PT	24	1	23	2
Romania	RO	25	1	24	2
Sweden	SE	26	1	25	2
Slovenia	SI	27	1	26	2
Slovakia	SK	28	1	27	2
United Kingdom	UK	29	1	28	2
Burgenland	AT11	30	2	50	3
Niederösterreich	AT12	31	2	50	3
Wien	AT13	32	2	50	3
Kärnten	AT21	33	2	50	3
Steiermark	AT22	34	2	50	3
Oberösterreich	AT31	35	2	50	3
Salzburg	AT32	36	2	50	3
Tirol	AT33	37	2	50	3
Vorarlberg	AT34	38	2	50	3
Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest	BE10	39	3	50	3
Prov. Antwerpen	BE21	40	3	50	3
Prov. Limburg (BE)	BE22	41	3	50	3
Prov. Oost-Vlaanderen	BE23	42	3	50	3
Prov. Vlaams-Brabant	BE24	43	3	50	3
Prov. West-Vlaanderen	BE25	44	3	50	3
Prov. Brabant Wallon	BE31	45	3	50	3
Prov. Hainaut	BE32	46	3	50	3
Prov. Liège	BE33	47	3	50	3
Prov. Luxembourg (BE)	BE34	48	3	50	3
Prov. Namur	BE35	49	3	50	3
Северозападен (Severozapaden)	BG31	50	4	50	3
Северен централен (Severen tsentralen)	BG32	51	4	50	3
Североизточен (Severoiztochen)	BG33	52	4	50	3
Югоизточен (Yugoiztochen)	BG34	53	4	50	3
Югозападен (Yugozapaden)	BG41	54	4	50	3
Южен централен (Yuzhen tsentralen)	BG42	55	4	50	3
Κύπρος (Kypros)	CY00	56	5	50	3
Praha	CZ01	57	6	50	3
Střední Čechy	CZ02	58	6	50	3
Jihozápad	CZ03	59	6	50	3
Severozápad	CZ04	60	6	50	3
Severovýchod	CZ05	61	6	50	3
Jihovýchod	CZ06	62	6	50	3
Střední Morava	CZ07	63	6	50	3
Moravskoslezsko	CZ08	64	6	50	3
Stuttgart	DE11	65	7	50	3
Karlsruhe	DE12	66	7	50	3
Freiburg	DE13	67	7	50	3
Tübingen	DE14	68	7	50	3
Oberbayern	DE21	69	7	50	3
Niederbayern	DE22	70	7	50	3
Oberpfalz	DE23	71	7	50	3
Oberfranken	DE24	72	7	50	3
Mittelfranken	DE25	73	7	50	3
Unterfranken	DE26	74	7	50	3
Schwaben	DE27	75	7	50	3
Berlin	DE30	76	7	50	3
Brandenburg	DE40	77	7	50	3
Bremen	DE50	78	7	50	3
Hamburg	DE60	79	7	50	3
Darmstadt	DE71	80	7	50	3
Gießen	DE72	81	7	50	3
Kassel	DE73	82	7	50	3
Mecklenburg-Vorpommern	DE80	83	7	50	3
Braunschweig	DE91	84	7	50	3
Hannover	DE92	85	7	50	3
Lüneburg	DE93	86	7	50	3
Weser-Ems	DE94	87	7	50	3
Düsseldorf	DEA1	88	7	50	3
Köln	DEA2	89	7	50	3
Münster	DEA3	90	7	50	3
Detmold	DEA4	91	7	50	3
Arnsberg	DEA5	92	7	50	3
Koblenz	DEB1	93	7	50	3
Trier	DEB2	94	7	50	3
Rheinhessen-Pfalz	DEB3	95	7	50	3
Saarland	DEC0	96	7	50	3
Dresden	DED2	97	7	50	3
Chemnitz	DED4	98	7	50	3
Leipzig	DED5	99	7	50	3
Sachsen-Anhalt	DEE0	100	7	50	3
Schleswig-Holstein	DEF0	101	7	50	3
Thüringen	DEG0	102	7	50	3
Hovedstaden	DK01	103	8	50	3
Sjælland	DK02	104	8	50	3
Syddanmark	DK03	105	8	50	3
Midtjylland	DK04	106	8	50	3
Nordjylland	DK05	107	8	50	3
Eesti	EE00	108	9	50	3
Galicia	ES11	109	10	50	3
Principado de Asturias	ES12	110	10	50	3
